Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"Q1","SFH-3710-Z","LED_0805_2012Metric",17.000000,-10.000000,0.000000,bottom
"C1","100nF","C_0603_1608Metric",16.500000,-4.500000,0.000000,top
"C2","100nF","C_0603_1608Metric",12.000000,-3.000000,0.000000,top
"G1","L200HY-4PS","GROVE-HW4-SMD-2.0",2.500000,-10.000000,90.000000,top
"R1","10k","R_0603_1608Metric",15.000000,-13.500000,-90.000000,top
"R3","10k","R_0603_1608Metric",10.000000,-13.000000,0.000000,top
"R4","10k","R_0603_1608Metric",10.000000,-16.000000,-90.000000,top
"R5","10k","R_0603_1608Metric",12.000000,-16.000000,-90.000000,top
"U1","LMV358","SOIC-8_3.9x4.9mm_P1.27mm",11.500000,-8.000000,90.000000,top
